sonido, prediccion
"timbre","timbre"
"timbre","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"puerta","idle"
"puerta","puerta"
"puerta","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"cubiertos_sartenes","cubiertos_sartenes"
"cubiertos_sartenes","cubiertos_sartenes"
"cubiertos_sartenes","cubiertos_sartenes"
"cubiertos_sartenes","cubiertos_sartenes"
"cubiertos_sartenes","cubiertos_sartenes"
"cubiertos_sartenes","cubiertos_sartenes"
"cubiertos_sartenes","cubiertos_sartenes"
"cubiertos_sartenes","cubiertos_sartenes"
"cubiertos_sartenes","cubiertos_sartenes"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_banio"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_banio"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_banio"
"grifo_cocina","grifo_banio"
"grifo_cocina","grifo_banio"
"grifo_cocina","grifo_cocina"
"grifo_cocina","ducha"
"grifo_cocina","ducha"
"grifo_cocina","ducha"
"grifo_cocina","ducha"
"grifo_cocina","ducha"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"idle","grifo_cocina"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"microondas","idle"
"microondas","microondas"
"microondas","microondas"
"microondas","persiana"
"microondas","microondas"
"microondas","microondas"
"microondas","persiana"
"microondas","microondas"
"microondas","microondas"
"microondas","microondas"
"microondas","microondas"
"microondas","microondas"
"microondas","microondas"
"microondas","microondas"
"microondas","microondas"
"microondas","microondas"
"microondas","microondas"
"microondas","idle"
"idle","idle"
"idle","idle"
"idle","idle"
