precision,recall,f1-score,support
1.0,0.9705882352941176,0.9850746268656716,34.0
1.0,1.0,1.0,9.0
0.0,0.0,0.0,0.0
1.0,0.9666666666666667,0.983050847457627,30.0
0.0,0.0,0.0,0.0
0.9285714285714286,0.5652173913043478,0.7027027027027025,23.0
1.0,0.7777777777777778,0.8750000000000001,18.0
0.0,0.0,0.0,0.0
1.0,0.3333333333333333,0.5,3.0
1.0,0.5,0.6666666666666666,2.0
0.9195402298850575,0.9876543209876543,0.9523809523809523,81.0
0.9,0.9,0.9,0.9
0.7134646962233169,0.5546579750330816,0.6058977996430565,200.0
0.9591995073891626,0.9,0.9193620768775713,200.0
