name,target,category
"part1.wav",15,"timbre"
"part2.wav",15,"timbre"
"part3.wav",15,"timbre"
"part4.wav",16,"idle"
"part5.wav",16,"idle"
"part6.wav",16,"idle"
"part7.wav",16,"idle"
"part8.wav",16,"idle"
"part9.wav",16,"idle"
"part10.wav",16,"idle"
"part11.wav",16,"idle"
"part12.wav",16,"idle"
"part13.wav",16,"idle"
"part14.wav",16,"idle"
"part15.wav",16,"idle"
"part16.wav",16,"idle"
"part17.wav",13,"puerta"
"part18.wav",13,"puerta"
"part19.wav",13,"puerta"
"part20.wav",13,"puerta"
"part21.wav",16,"idle"
"part22.wav",16,"idle"
"part23.wav",16,"idle"
"part24.wav",16,"idle"
"part25.wav",16,"idle"
"part26.wav",16,"idle"
"part27.wav",16,"idle"
"part28.wav",16,"idle"
"part29.wav",16,"idle"
"part30.wav",3,"conversacion"
"part31.wav",3,"conversacion"
"part32.wav",3,"conversacion"
"part33.wav",3,"conversacion"
"part34.wav",3,"conversacion"
"part35.wav",3,"conversacion"
"part36.wav",3,"conversacion"
"part37.wav",3,"conversacion"
"part38.wav",3,"conversacion"
"part39.wav",3,"conversacion"
"part40.wav",3,"conversacion"
"part41.wav",3,"conversacion"
"part42.wav",3,"conversacion"
"part43.wav",3,"conversacion"
"part44.wav",3,"conversacion"
"part45.wav",3,"conversacion"
"part46.wav",3,"conversacion"
"part47.wav",3,"conversacion"
"part48.wav",3,"conversacion"
"part49.wav",3,"conversacion"
"part50.wav",16,"idle"
"part51.wav",16,"idle"
"part52.wav",16,"idle"
"part53.wav",16,"idle"
"part54.wav",16,"idle"
"part55.wav",16,"idle"
"part56.wav",16,"idle"
"part57.wav",16,"idle"
"part58.wav",16,"idle"
"part59.wav",16,"idle"
"part60.wav",16,"idle"
"part61.wav",16,"idle"
"part62.wav",16,"idle"
"part63.wav",5,"despertador"
"part64.wav",5,"despertador"
"part65.wav",5,"despertador"
"part66.wav",5,"despertador"
"part67.wav",5,"despertador"
"part68.wav",5,"despertador"
"part69.wav",5,"despertador"
"part70.wav",5,"despertador"
"part71.wav",5,"despertador"
"part72.wav",5,"despertador"
"part73.wav",5,"despertador"
"part74.wav",5,"despertador"
"part75.wav",5,"despertador"
"part76.wav",5,"despertador"
"part77.wav",5,"despertador"
"part78.wav",5,"despertador"
"part79.wav",5,"despertador"
"part80.wav",5,"despertador"
"part81.wav",5,"despertador"
"part82.wav",5,"despertador"
"part83.wav",5,"despertador"
"part84.wav",5,"despertador"
"part85.wav",5,"despertador"
"part86.wav",5,"despertador"
"part87.wav",5,"despertador"
"part88.wav",5,"despertador"
"part89.wav",5,"despertador"
"part90.wav",5,"despertador"
"part91.wav",5,"despertador"
"part92.wav",5,"despertador"
"part93.wav",5,"despertador"
"part94.wav",5,"despertador"
"part95.wav",5,"despertador"
"part96.wav",5,"despertador"
"part97.wav",5,"despertador"
"part98.wav",5,"despertador"
"part99.wav",5,"despertador"
"part100.wav",5,"despertador"
"part101.wav",5,"despertador"
"part102.wav",5,"despertador"
"part103.wav",5,"despertador"
"part104.wav",16,"idle"
"part105.wav",16,"idle"
"part106.wav",16,"idle"
"part107.wav",16,"idle"
"part108.wav",16,"idle"
"part109.wav",16,"idle"
"part110.wav",16,"idle"
"part111.wav",16,"idle"
"part112.wav",16,"idle"
"part113.wav",16,"idle"
"part114.wav",16,"idle"
"part115.wav",16,"idle"
"part116.wav",12,"persiana"
"part117.wav",12,"persiana"
"part118.wav",12,"persiana"
"part119.wav",12,"persiana"
"part120.wav",12,"persiana"
"part121.wav",12,"persiana"
"part122.wav",12,"persiana"
"part123.wav",12,"persiana"
"part124.wav",12,"persiana"
"part125.wav",12,"persiana"
"part126.wav",12,"persiana"
"part127.wav",16,"idle"
"part128.wav",16,"idle"
"part129.wav",16,"idle"
"part130.wav",16,"idle"
"part131.wav",16,"idle"
"part132.wav",16,"idle"
"part133.wav",16,"idle"
"part134.wav",16,"idle"
"part135.wav",16,"idle"
"part136.wav",16,"idle"
"part137.wav",16,"idle"
"part138.wav",16,"idle"
"part139.wav",10,"impresora"
"part140.wav",10,"impresora"
"part141.wav",10,"impresora"
"part142.wav",10,"impresora"
"part143.wav",10,"impresora"
"part144.wav",10,"impresora"
"part145.wav",10,"impresora"
"part146.wav",10,"impresora"
"part147.wav",10,"impresora"
"part148.wav",10,"impresora"
"part149.wav",10,"impresora"
"part150.wav",10,"impresora"
"part151.wav",10,"impresora"
"part152.wav",10,"impresora"
"part153.wav",10,"impresora"
"part154.wav",16,"idle"
"part155.wav",16,"idle"
"part156.wav",16,"idle"
"part157.wav",16,"idle"
"part158.wav",16,"idle"
"part159.wav",16,"idle"
"part160.wav",16,"idle"
